Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (CTET custom link),Outward issue link (CTET custom link),Outward issue link (CTET custom link),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Depend),Outward issue link (Depend),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Revision),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Remove BMU from reno voltron for developing test procedure against,CTET-3894,80198,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,10/Jul/24 8:19 AM,10/Jul/24 8:21 AM,10/Jul/24 8:44 AM,,,0,,,,,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@499f06b1,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2969,24-Q2-KR5.3 - BIC PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i071m9:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,78153,24-Q2-KR5.3 - BIC PCBA Tester Built & Tested,To Do,10/Jul/24 8:19 AM
Create Generator Compatibility Plugin,CTET-3893,80196,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,10/Jul/24 6:52 AM,10/Jul/24 6:56 AM,10/Jul/24 8:44 AM,,,0,,,,,,,Tanner Whipps,,,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@563ddd83,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,0.0,,,,,,,,,,,,,2|hzzgl5:ki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,To Do,10/Jul/24 6:52 AM
Create System Mode Priority Plugin,CTET-3892,80195,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,10/Jul/24 6:48 AM,10/Jul/24 6:56 AM,10/Jul/24 8:44 AM,,,0,,,,,,,Tanner Whipps,,,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4063834f,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,0.0,,,,,,,,,,,,,2|hzzgl5:k9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,To Do,10/Jul/24 6:48 AM
Drive Blue Marlin System Mode Priorities,CTET-3891,80194,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,10/Jul/24 6:48 AM,10/Jul/24 6:56 AM,10/Jul/24 8:44 AM,,,0,,,,,,,Tanner Whipps,,,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1fd34348,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,0.0,,,,,,,,,,,,,2|hzzgl5:l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,To Do,10/Jul/24 6:48 AM
Document How to Calibrate Manta,CTET-3890,80193,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,10/Jul/24 6:41 AM,10/Jul/24 6:56 AM,10/Jul/24 8:44 AM,,,0,,,,,,,Tanner Whipps,,,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@17627023,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3010,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,,,,,,0.0,,,,,,,,,,,,,2|hzzgl5:ji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,78311,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,To Do,10/Jul/24 6:41 AM
Support and Setup of 24V Can and INV Can monitoring of Thermal Burn-in Test,CTET-3889,80136,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,Done,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,09/Jul/24 5:13 PM,09/Jul/24 5:14 PM,10/Jul/24 8:42 AM,09/Jul/24 5:14 PM,,0,,,,,,,aaron.zetley,,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@619ea72c,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3497,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",,,,,,0.0,,,,,,,,,,,,,2|i0719l:,,,,,2.0,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_40958_*|*_10001_*:*_1_*:*_0,,,,,79395,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",Done,09/Jul/24 5:14 PM
ALC Tester NUC Installation and Setup,CTET-3888,80135,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,09/Jul/24 5:11 PM,09/Jul/24 5:12 PM,10/Jul/24 8:44 AM,09/Jul/24 5:11 PM,09/Jul/24 12:00 AM,0,,,,,,,aaron.zetley,,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1eb280c8,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2968,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i0719d:,,,,,3.0,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_7457,,,,,78152,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,Done,09/Jul/24 5:11 PM
Define shop CNC specs,CTET-3887,80127,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,Jon Thomas,712020:cdffb633-796d-417e-9c44-667e697189ff,09/Jul/24 4:09 PM,10/Jul/24 7:39 AM,10/Jul/24 8:44 AM,,,0,,,,,"*Features*

Size: 8' x 4' minimum

Rigid gantry & frame

High power & speed spindle

Tool Changer (VERY nice to have after getting the right machine)

Tapping (very nice to have)

Dust Collection

Materials: G10, Aluminum must, thin steel



||*Machines*||*Cost*||*Pros*||*Cons*||*Materials*||*Tolerance*||*Software*||
|Avid| | | | |+/- 0.005"" (0.127 mm) or better| |
|Shop Sabre| | | | | | |
|Automation Technology| | | | | | |",,Adam Marcinkowski,Dillon Dawson,Jon Thomas,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,712020:cdffb633-796d-417e-9c44-667e697189ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5e65c983,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i0717l:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,To Do,09/Jul/24 4:09 PM
Debug CAN mapping issue,CTET-3886,80110,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Blocker,Done,Seun Osiyemi,60957172a56f2f006f65f1e9,Seun Osiyemi,60957172a56f2f006f65f1e9,Seun Osiyemi,60957172a56f2f006f65f1e9,09/Jul/24 2:16 PM,10/Jul/24 8:10 AM,09/Jul/24 3:47 PM,09/Jul/24 2:16 PM,,0,,,,,"This ticket has been created to account for the time invested in debugging a suspected NI issue. Despite using the same blue_marlin.dbc file, Zelos and Grafana are reporting different values for the same signals/messages.

For example, when there is no alarm on the system, Zelos is correctly reading 0 for the value of alarms latched. On the other hand, Grafana reports values between 1.41-1.43 when there is no alarm on the system. Also, some signals (particularly Manta signals) are not being reported on Grafana. Grafana obtains this data from the influxdB, which is also used to validate the plugin tests.

As a result, a lot of the scripts have been failing because the values of the signals used to validate the tests are either reporting incorrectly or not reported at all in Grafana. So the logic fails since the values don’t match. I am currently being supported by Raaga and Yung on this. 



*Zelos (Reporting correct value of 0 for alarms latched)*

!image-20240709-213305.png|width=1164,height=236,alt=""image-20240709-213305.png""!



*Grafana/influxdB (Reporting incorrect value of 1.44 for alarms latched)*

!image-20240709-213249.png|width=404,height=242,alt=""image-20240709-213249.png""!",,Seun Osiyemi,,,60957172a56f2f006f65f1e9,,,,,,,,,,,,,,,,,,,,,,,09/Jul/24 2:34 PM;ug:1c3446f8-5c04-41e3-a2c2-45a9d5c98ced;image-20240709-213249.png;https://neurio.atlassian.net/rest/api/3/attachment/content/51252,09/Jul/24 2:34 PM;ug:1c3446f8-5c04-41e3-a2c2-45a9d5c98ced;image-20240709-213305.png;https://neurio.atlassian.net/rest/api/3/attachment/content/51253,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@30862bea,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,0.0,,,,,,,,,,,,,2|i0713t:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,5.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_5965,"10/Jul/24 8:08 AM;60957172a56f2f006f65f1e9;Yung explained this is a known issue with NI where the registers are shifted and so the wrong values are read from the signals/messages.

Reloading and restarting the data acquisition using the curl commands several times fixes this issue, but only temporarily. The data acquisition often stops (especially after running a plugintest) and has to be started again. When restarted, the values reported in Grafana may be incorrect due to this NI issue. And it takes 1-3 reloads and restarts to fix it to report the correct values. That is when a plugintest can then be run. This process is very inconvenient, and Raaga and Yung have mentioned that improvements/changes to the framework will be implemented to address this issue.

Meanwhile, Yung has advised to update the PXI on Voltron to kernel 5.19. This is the version recommended by NI. This is the official tested version by NI so they want us to run on this and see if that issue still exists before next steps.

[~accountid:6421e9897222b08f3e733ba4]  for your visibility.",,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,10/Jul/24 8:10 AM
Design latching and locking system,CTET-3885,80101,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,09/Jul/24 11:48 AM,09/Jul/24 12:58 PM,09/Jul/24 3:59 PM,09/Jul/24 12:58 PM,,0,,,,,,,Alex Wong,,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2cc711c4,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2968,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i0711t:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_4170536,,,,,78152,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,Done,09/Jul/24 12:58 PM
Print Inductor Mounting Fixture,CTET-3884,80100,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,09/Jul/24 11:48 AM,10/Jul/24 8:41 AM,10/Jul/24 8:44 AM,,,0,,,,,,,Alex Wong,,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1390ad9f,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i0711l:,,,,,,,,,,,,,,,CTET 71024,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,To Do,09/Jul/24 11:48 AM
Replace ALP23 with ALP24 in CAD Assembly,CTET-3883,80088,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,09/Jul/24 7:03 AM,09/Jul/24 11:46 AM,09/Jul/24 4:00 PM,09/Jul/24 7:03 AM,,0,,,,,,,Alex Wong,,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5d791475,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2968,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i070zd:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_27483,,,,,78152,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,Done,09/Jul/24 11:46 AM
Create CAD Model for Analog Discovery 3,CTET-3882,80085,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,08/Jul/24 10:39 PM,08/Jul/24 10:40 PM,10/Jul/24 8:44 AM,08/Jul/24 10:39 PM,,0,,,,,,,Alex Wong,,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3a0747aa,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2968,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i070yp:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_7283,,,,,78152,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,Done,08/Jul/24 10:40 PM
Resize Fixture Assembly for Analog Discovery,CTET-3881,80084,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,08/Jul/24 10:39 PM,09/Jul/24 11:46 AM,10/Jul/24 8:44 AM,08/Jul/24 10:41 PM,,0,,,,,,,Alex Wong,,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@b016574,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2968,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i070yh:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_134524,,,,,78152,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,Done,09/Jul/24 11:46 AM
Design Inductor Mounting Fixture,CTET-3880,80083,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,08/Jul/24 10:37 PM,08/Jul/24 10:41 PM,10/Jul/24 8:44 AM,08/Jul/24 10:38 PM,,0,,,,,,,Alex Wong,,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2b173f6f,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2968,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i070y9:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_0_*|*_10000_*:*_1_*:*_28076,,,,,78152,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,Done,08/Jul/24 10:41 PM
ALC Low Voltage Communication Test Procedure,CTET-3879,80077,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,08/Jul/24 9:21 PM,08/Jul/24 9:21 PM,10/Jul/24 8:44 AM,08/Jul/24 9:21 PM,09/Jul/24 12:00 AM,0,,,,,,,aaron.zetley,,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@73fa6990,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2968,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,,,,,,0.0,,,,,,,,,,,,,2|i070wx:,,,,,2.0,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_21494_*|*_10001_*:*_1_*:*_0,,,,,78152,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,Done,08/Jul/24 9:21 PM
EOL Test Burn in Full Power Testing Scope and FW Change Requirements ,CTET-3878,80076,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Major,Done,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,08/Jul/24 7:24 PM,08/Jul/24 7:24 PM,10/Jul/24 8:44 AM,08/Jul/24 7:24 PM,,0,,,,,,,aaron.zetley,,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@58da4015,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3003,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,0.0,,,,,,,,,,,,,2|i070wp:,,,,,,,,,,,,,,,CTET 070324,,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_481_*|*_10001_*:*_1_*:*_0,,,,,78304,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,08/Jul/24 7:24 PM
